Login,Number,IssueNumber,IssueCount,IssueLabels,Events,FirstTime,Pulls,Commits,Additions,Deletions,ChangedFiles,Comments,ReviewComments
invalid-email-address,xiaochenyu,0,0,,0,,0,0,0,0,0,0,0
hao523577579,1517060333,0,0,,0,,4,1,2955,0,69,0,0
lylsy0428,1517060319,102,1,,4,2017-10-25T03:37:44Z,6,11,1021,0,54,0,0
wenjianyangwen,1517060328,122,1,,0,,4,11,935,0,48,0,0
zfyyy,1517060341,118,1,,1,2017-11-01T02:53:10Z,4,6,586,0,52,0,0
ZhangHao15,1517060329,0,0,,0,,0,0,0,0,0,0,0
zhuangshilin,null,0,0,,0,,1,1,685,0,39,0,0
wwwcccjjj,null,137,1,,0,,0,0,0,0,0,0,0
zengsn,null,84,6,,30,2017-10-25T01:09:26Z,6,9,630,16,25,1,0
1517060340,1517060340,0,0,,0,,1,1,593,0,56,0,0
Your Name,demo.txt,0,0,,0,,0,0,0,0,0,0,0
wuchongjie,null,158,1,,0,,2,2,762,0,91,0,0
huanglingwen,1516090218,0,1,,0,,3,6,75,30,8,0,0
unknown,1517060303,0,0,,0,,0,0,0,0,0,0,0
870971217,1517060302,108,1,,1,2017-11-01T02:03:09Z,5,9,1484,0,73,0,0
H-FITS,null,0,0,,0,,1,1,718,0,51,0,0
1517060322,1517060322,0,0,,0,,6,14,1169,2,43,1,0
1517060326,null,0,1,,0,,0,0,0,0,0,0,0
surpershuai,1517060308,0,0,,0,,1,3,713,0,31,0,0
linmaoquan,1517060316,0,1,,0,,3,3,54,0,4,0,0
1517060305,1517060305,0,0,,0,,3,5,1088,0,59,0,0
linwusheng,1517060318,0,0,,0,,5,9,1691,0,128,1,0
qiu-bohong,1517060324,136,1,,0,,6,12,1338,0,72,0,0
PPPPPYH,null,0,0,,0,,1,2,745,0,62,0,0
chenzhenxiong,1517060309,0,0,,0,,4,9,5944,0,308,0,0
ZWTZHANG,1517060336,0,1,,0,,2,1,0,0,3,0,0
ST,1517130215,0,0,,0,,0,0,0,0,0,0,0
CCCCJQ,1517060303,143,2,,0,,2,1,676,0,40,0,0
ruan3zzk,WeChatApp,0,0,,0,,1,5,706,0,43,0,0
703224193,null,0,0,,0,,3,4,765,0,45,0,0
xiaoyanhui123,1517060332,0,0,,0,,4,7,1010,0,49,1,0
467232084,null,0,0,,0,,2,5,895,0,58,0,0
Sprite24,1517060321,124,1,,1,2017-11-01T01:43:58Z,6,8,1576,0,87,0,0
liangfenghan,1517060329,128,1,,0,,5,3,1154,0,77,0,0
13192350024,1517010101,123,1,,1,2017-11-01T01:32:15Z,5,11,940,3,32,0,0
Mashaku,1517060308,0,0,,0,,6,10,1045,0,69,0,0
1229754154,null,110,1,,1,2017-11-01T00:42:19Z,4,8,2221,0,126,0,0
1877196395,null,111,2,,0,,1,3,63,0,4,0,0
Xiejiantao,null,0,0,,0,,2,4,646,0,48,0,0
1517060311,null,115,2,,0,,0,0,0,0,0,0,0
jackKiZhu,1517060342,113,1,,1,2017-10-25T03:36:38Z,6,11,1648,242,149,0,0
azx2438201,1517010108,0,0,,0,,3,8,2169,0,52,0,0
ChengZhiBin,1517060310,131,1,,1,2017-11-01T02:05:35Z,2,7,899,0,47,2,0
2521598730,null,112,1,,1,2017-10-25T03:31:42Z,5,7,1158,24,59,0,0
